Survey ID,date,site,island,exposure,substrate,Acanthophora.spicifera,Ahnfeltiopsis.spp,Amansia.glomerata,Articulated.Corallines,Asparagopsis.taxiformis,Asteronema.breviarticulatum,Avrainvillea.amadelpha,Boodlea.composita,Bornetella.sphaerica,Brown.Crust,Bryopsis.spp,Caulerpa.spp,Centroceras.clavulatum,Chaetomorpha.antennina,Chnoospora.minima,Chondrophycus.parvipapillatus,Cladophora.spp,Codium.spp,Coelothrix.irregularis,Colpomenia.sinuosa,Crustose.Coralline,Cyanobacteria.spp,Red.unknown,Red.calcifying.branching.unknown,Dictyosphaeria.spp,Dictyota.spp,Gelidiales,Gracilaria.salicornia,Griffithsia.spp,Halimeda.discoidea,Hydroclathrus.clathratus,Hypnea.spp,Laurencia.spp,Leptolyngbya.crosbyana,Lyngbya.majuscula,Microdictyon.setchellianum,Neomeris.spp,Padina.spp,Sargassum.spp,Sphacelaria.spp,Turbinaria.ornata,Turf.spp,Ulva.spp,Unknown.algae,Actinopyga.varians,Aplysia.spp,Barnacles.spp,Coral.spp,Cellana.spp,Vermetidae,Diadema.paucispinum,Littorinidae,Echinometra.spp,Grapsus.tenuicrustatus,Hermit.Crab,Holothuria.spp,Isognomon.spp,Littoraria.pintado,Monetaria.caputserpentis,Morula.granulata,Nerita.picea,Onchidium.verruculatum,Ophiocoma.brevipes,Pennaria.disticha,Siphonaria.normalis,Snail.spp,Sponge.spp
19,4/9/2017,Fuji,Kauai,windward,L,0.16,0,0,0.96,0,0.16,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,19.68,2.72,0,1.6,0,0,0,0,0,0,0,4.48,0.16,0.96,0,0,22.4,0.96,0,4.8,17.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4/11/2017,Fuji,Kauai,windward,L,0,0,0.1212121,0.6060606,0,0,0,0,0,0,0.1212121,0,0,1.5757576,0.1212121,0,0.4848485,0,0,0,0.3636364,7.6363636,2.4242424,0,5.2121212,0.1212121,0.3636364,0,0,0.1212121,0,0,4.969697,0,1.3333333,0.1212121,0,19.2727273,0.2424242,2.1818182,0,19.2727273,0,0,0,0,0,0,0.2424242,0,0,0,0,0,0,0.2424242,0,0,0,0.1212121,0,0,0,0,0,0,0
30,4/19/2017,Mahaulepu,Kauai,channel,B,0,0,0,5.4736842,0,0,0,0,0.2105263,0,1.0526316,0,0,0,0,0,0,0,0,2.5263158,0,0,1.8947368,0,0.8421053,5.8947368,0,0,0,0.2105263,0,0,0,0,6.3157895,9.4736842,0,15.3684211,0,0,0,31.5789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4/26/2017,Mahaulepu,Kauai,channel,B,0,0,0,13.5652174,0.173913,0,0,0.173913,0.8695652,0,0,0,0,0,0,0,0.6956522,0,0,0.8695652,4.8695652,0,0.3478261,0,1.7391304,1.0434783,0,0,0,1.5652174,0,0.8695652,4.6956522,0,5.7391304,9.0434783,0,8.6956522,1.5652174,0,0,19.4782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4/11/2017,Waipouli,Kauai,windward,L,0,0.1081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1081081,0,0,0,0,15.027027,0.4324324,0,1.0810811,0,0,0,0,0,0,0,0.1081081,0,16.6486486,0.8648649,0,19.5675676,0.6486486,3.027027,2.2702703,7.7837838,0.1081081,0,0,0.3243243,0,0,0.1081081,0,0,0,0,0,0,0.1081081,0,0,0,0,0,0,0,0,0.2162162,0,0
59,4/12/2017,Waipouli,Kauai,windward,L,0,0,0,0,0,0,0,0,0,0,0.1428571,0,0,0,0.7142857,0,0,0,0,0,0,30.7142857,0,0,0.7142857,0,0,0,0,0,0,0.1428571,11,0,0,1.4285714,0,20.5714286,0,0,0.7142857,6.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3/10/2017,Diamond Head,Oahu,leeward,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0.6666667,0.3333333,0,3.8333333,0,0.3333333,0,0,45.5,0.5,0,10.5,19.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4/27/2017,Diamond Head,Oahu,leeward,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9354839,0,0,0,0,0,0,0,0,0,0.6451613,0.7741935,0,0,0,0,0,1.1612903,0,0,3.483871,0,0,32.516129,3.3548387,0,6.8387097,22.9677419,0,0,0,0,0.1290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2580645,0
12,3/8/2017,Ewa Beach,Oahu,leeward,M,0.32,0,0,0.16,0,0,0.96,0,0.96,0.32,0,0,0,0,0,0,0.32,0.64,0,0,12.32,0,0,0.16,0,1.92,0,0,0,0.16,0,0.32,5.44,0,2.08,0,0,25.44,2.56,0,0,8.16,11.52,0,0,0,0,0.16,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0
13,3/29/2017,Ewa Beach,Oahu,leeward,M,1.2307692,0,0,0,0,0,0,0,2.1538462,0,0,0,0,0,0,0,0,0,0,0,0.3076923,0,0,0,2.4615385,6.4615385,0,0,0,0,0,6.1538462,6.1538462,0,0.3076923,0,0,35.5384615,3.0769231,0,0,7.2307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
